A	Alimentary tract and metabolism
S01XA04	Potassium iodide
S01XA05	Sodium edetate
S01XA06	Ethylmorphine
S01XA11	Nandrolone
S01XA22	Ocriplasmin
S01XA23	Sirolimus
S01XA24	Cenegermin
S01XA25	Lifitegrast
S02	Otologicals
S02A	Antiinfectives
S02AA	Antiinfectives
S02AA03	Boric acid
S02AA04	Aluminium acetotartrate
S02AA08	Tetracycline
S02AA10	Acetic acid
S02AA11	Polymyxin b
S02C	Corticosteroids and antiinfectives in combination
S02CA	Corticosteroids and antiinfectives in combination
S02CA07	Fludrocortisone and antiinfectives
S03	Ophthalmological and otological preparations
S03A	Antiinfectives
S03AA	Antiinfectives
S03AA05	Hexamidine
S03AA08	Chloramphenicol
V	Various
V01	Allergens
V01A	Allergens
V01AA	Allergen extracts
V01AA03	House dust mites
V03	All other therapeutic products
V03A	All other therapeutic products
V03AB	Antidotes
V03AB02	Nalorphine
V03AB04	Pralidoxime
V03AB08	Sodium nitrite
V03AB09	Dimercaprol
V03AB13	Obidoxime
V03AB14	Protamine
V03AB16	Ethanol
V03AB17	Methylthioninium chloride
V03AB18	Potassium permanganate
V03AB20	Copper sulfate
V03AB22	Amyl nitrite
V03AB24	Digitalis antitoxin
V03AB25	Flumazenil
V03AB26	Methionine
V03AB27	4-dimethylaminophenol
V03AB31	Prussian blue
V03AB32	Glutathione
V03AB34	Fomepizole
V03AB35	Sugammadex
V03AB36	Phentolamine
V03AB37	Idarucizumab
V03AB38	Andexanet alfa
V03AC	Iron chelating agents
V03AC01	Deferoxamine
V03AC02	Deferiprone
V03AC03	Deferasirox
V03AE	Drugs for treatment of hyperkalemia and hyperphosphatemia
V03AE01	Polystyrene sulfonate
V03AE02	Sevelamer
V03AE03	Lanthanum carbonate
V03AE04	Calcium acetate and magnesium carbonate
V03AE06	Colestilan
V03AE08	Ferric citrate
V03AE10	Sodium zirconium cyclosilicate
V03AF	Detoxifying agents for antineoplastic treatment
V03AF02	Dexrazoxane
V03AF05	Amifostine
V03AF06	Sodium folinate
V03AF07	Rasburicase
V03AF08	Palifermin
V03AF09	Glucarpidase
V03AF10	Sodium levofolinate
V03AG	Drugs for treatment of hypercalcemia
V03AG01	Sodium cellulose phosphate
V03AN	Medical gases
V03AN01	Oxygen
V03AN02	Carbon dioxide
V03AN03	Helium
V03AN04	Nitrogen
V03AN05	Medical air
V03AX	Other therapeutic products
V03AX02	Nalfurafine
V04	Diagnostic agents
V04C	Other diagnostic agents
V04CA	Tests for diabetes
V04CA01	Tolbutamide
V04CB	Tests for fat absorption
V04CB01	Vitamin a concentrates
V04CC	Tests for bile duct patency
V04CC03	Sincalide
V04CC04	Ceruletide
V04CD	Tests for pituitary function
V04CD01	Metyrapone
V04CD03	Sermorelin
V04CD04	Corticorelin
V04CD05	Somatorelin
V04CD06	Macimorelin
V04CE	Tests for liver functional capacity
V04CE02	Sulfobromophthalein
V04CG	Tests for gastric secretion
V04CG02	Betazole
V04CG04	Pentagastrin
V04CH	Tests for renal function and ureteral injuries
V04CH01	Inulin and other polyfructosans
V04CH02	Indigo carmine
V04CH03	Phenolsulfonphthalein
V04CH04	Alsactide
V04CH30	Aminohippuric acid
V04CJ	Tests for thyreoidea function
V04CJ01	Thyrotropin
V04CJ02	Protirelin
V04CK	Tests for pancreatic function
V04CK01	Secretin
V04CK02	Pancreozymin (cholecystokinin)
V04CK03	Bentiromide
V04CM	Tests for fertility disturbances
V04CM01	Gonadorelin
V06	General nutrients
V06D	Other nutrients
V06DC	Carbohydrates
V06DC02	Fructose
V08	Contrast media
V08A	X-ray contrast media, iodinated
V08AA	Watersoluble, nephrotropic, high osmolar x-ray contrast media
V08AA01	Diatrizoic acid
V08AA02	Metrizoic acid
V08AA03	Iodamide
V08AA04	Iotalamic acid
V08AA05	Ioxitalamic acid
V08AA06	Ioglicic acid
V08AA07	Acetrizoic acid
V08AA08	Iocarmic acid
V08AA09	Methiodal
V08AA10	Diodone
V08AB	Watersoluble, nephrotropic, low osmolar x-ray contrast media
V08AB01	Metrizamide
V08AB02	Iohexol
V08AB03	Ioxaglic acid
V08AB04	Iopamidol
V08AB05	Iopromide
V08AB06	Iotrolan
V08AB07	Ioversol
V08AB08	Iopentol
V08AB09	Iodixanol
V08AB10	Iomeprol
V08AB11	Iobitridol
V08AB12	Ioxilan
V08AC	Watersoluble, hepatotropic x-ray contrast media
V08AC01	Iodoxamic acid
V08AC02	Iotroxic acid
V08AC03	Ioglycamic acid
V08AC04	Adipiodone
V08AC05	Iobenzamic acid
V08AC06	Iopanoic acid
V08AC07	Iocetamic acid
V08AC08	Sodium iopodate
V08AC09	Tyropanoic acid
V08AD	Non-watersoluble x-ray contrast media
V08AD02	Iopydol
V08AD03	Propyliodone
V08AD04	Iofendylate
V08B	X-ray contrast media, non-iodinated
V08BA	Barium sulfate containing x-ray contrast media
V08BA02	Barium sulfate without suspending agents
V08C	Magnetic resonance imaging contrast media
V08CA	Paramagnetic contrast media
V08CA01	Gadopentetic acid
V08CA02	Gadoteric acid
V08CA03	Gadodiamide
V08CA04	Gadoteridol
V08CA05	Mangafodipir
V08CA06	Gadoversetamide
V08CA07	Ferric ammonium citrate
V08CA08	Gadobenic acid
V08CA09	Gadobutrol
V08CA10	Gadoxetic acid
V08CA11	Gadofosveset
V08CB01	Ferumoxsil
V08CB03	Iron oxide, nanoparticles
V08CX	Other magnetic resonance imaging contrast media
V08CX01	Perflubron
V08D	Ultrasound contrast media
V08DA	Ultrasound contrast media
V08DA02	Microparticles of galactose
V08DA03	Perflenapent
V08DA05	Sulfur hexafluoride, phospholipid microspheres
V09	Diagnostic radiopharmaceuticals
V09A	Central nervous system
V09AA	Technetium compounds
V09AA01	Technetium exametazime
V09AB	Iodine compounds
V09AB01	Iodine iofetamine
V09AB03	Iodine ioflupane
V09AX	Other central nervous system diagnostic radiopharmaceuticals
V09AX01	Indium pentetic acid
V09AX04	Flutemetamol
V09AX05	Florbetapir
V09AX06	Florbetaben
V09B	Skeleton
V09BA	Technetium compounds
V09BA01	Technetium oxidronic acid
V09BA02	Technetium medronic acid
V09BA03	Technetium pyrophosphate
V09D	Hepatic and reticulo endothelial system
V09DA	Technetium compounds
V09DA01	Technetium disofenin
V09DA02	Technetium etifenin
V09DA04	Technetium mebrofenin
V09DB	Technetium, particles and colloids
V09DB05	Technetium sulfur colloid
V09E	Respiratory system
V09EX	Other respiratory system diagnostic radiopharmaceuticals
V09EX01	Krypton gas
V09EX03	Xenon gas
V09F	Thyroid
V09FX	Various thyroid diagnostic radiopharmaceuticals
V09FX01	Technetium pertechnetate
V09FX02	Sodium iodide
V09FX03	Sodium iodide
V09G	Cardiovascular system
V09GA	Technetium compounds
V09GA01	Technetium sestamibi
V09GA02	Technetium tetrofosmin
V09H	Inflammation and infection detection
V09HA	Technetium compounds
V09HA04	Technetium sulesomab
V09I	Tumour detection
V09IA	Technetium compounds
V09IA06	Technetium arcitumomab
V09IA09	Technetium tilmanocept
V09IB	Indium compounds
V09IB01	Indium pentetreotide
V09IB02	Indium satumomab pendetide
V09IB04	Indium capromab pendetide
V09IX	Other diagnostic radiopharmaceuticals for tumour detection
V09IX01	Iobenguane
V09IX04	Fludeoxyglucose
V09IX05	Fluorodopa
V09IX06	Sodium fluoride
V09IX09	Gallium (68ga) edotreotide
V09IX12	Fluciclovine
V09X	Other diagnostic radiopharmaceuticals
V09XA	Iodine compounds
V09XA01	Iodine norcholesterol
V09XA02	Iodocholesterol
V09XX	Various diagnostic radiopharmaceuticals
V09XX03	Selenium norcholesterol
V09XX04	Ferric citrate
V10	Therapeutic radiopharmaceuticals
V10A	Antiinflammatory agents
V10AA	Yttrium compounds
V10AA01	Yttrium citrate colloid
V10AX	Other antiinflammatory therapeutic radiopharmaceuticals
V10AX05	Rhenium sulfide colloid
V10AX06	Gold colloidal
V10B	Pain palliation
V10BX	Various pain palliation radiopharmaceuticals
V10BX01	Strontium chloride
V10BX02	Samarium lexidronam
V10X	Other therapeutic radiopharmaceuticals
V10XA	Iodine compounds
V10XA53	Tositumomab/iodine tositumomab
V10XX	Various therapeutic radiopharmaceuticals
V10XX02	Ibritumomab tiuxetan
J05AX12	Dolutegravir
L01XE	Protein kinase inhibitors
L01XE01	Imatinib
L01XE02	Gefitinib
L01XE03	Erlotinib
L01XE04	Sunitinib
L01XE05	Sorafenib
L01XE06	Dasatinib
L01XE07	Lapatinib
L01XE08	Nilotinib
L01XE09	Temsirolimus
L01XE10	Everolimus
L01XE11	Pazopanib
L01XE12	Vandetanib
L01XE13	Afatinib
L01XE14	Bosutinib
L01XE15	Vemurafenib
L01XE16	Crizotinib
L01XE17	Axitinib
L01XE18	Ruxolitinib
L01XE19	Ridaforolimus
L01XE21	Regorafenib
L01XE22	Masitinib
L01XE23	Dabrafenib
L01XE24	Ponatinib
L01XE25	Trametinib
L01XE26	Cabozantinib
L01XE27	Ibrutinib
L01XE28	Ceritinib
L01XE29	Lenvatinib
L01XE31	Nintedanib
L01XE32	Cediranib
L01XE33	Palbociclib
L01XE34	Tivozanib
L01XE35	Osimertinib
L01XE36	Alectinib
L01XE37	Rociletinib
L01XE38	Cobimetinib
L01XE39	Midostaurin
L01XE40	Olmutinib
L01XE41	Binimetinib
L01XE42	Ribociclib
L01XE43	Brigatinib
L01XE44	Lorlatinib
L01XE45	Neratinib
L01XE46	Encorafenib
L01XE47	Dacomitinib
L01XE48	Icotinib
L01XE50	Abemaciclib
L01XX17	Topotecan
L01XX19	Irinotecan
L01XX25	Bexarotene
L01XX32	Bortezomib
L01XX38	Vorinostat
L01XX39	Romidepsin
L01XX42	Panobinostat
L01XX43	Vismodegib
L01XX45	Carfilzomib
L01XX46	Olaparib
L01XX47	Idelalisib
L01XX48	Sonidegib
L01XX49	Belinostat
L01XX50	Ixazomib
L01XX54	Niraparib
L01XX55	Rucaparib
L01XX56	Etirinotecan pegol
L01XX60	Talazoparib
L01XX61	Copanlisib
V08CB	Superparamagnetic contrast media
